,State,mean_pct_read_seng15,Sanitation,Electricity,avg_unemploy_state,avg_houshold_size,year,month,day,is_holiday,is_weekday
4799,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,05,19,0,0
4070,Kogi,56.6,78.46921682,51.85519457,13.21428571,4.0,2018,03,14,0,1
5308,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2020,05,31,0,0
3343,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2016,11,08,0,1
4992,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,10,03,0,1
4583,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,01,15,0,1
3672,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,07,11,0,1
559,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2011,12,10,0,0
5237,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2020,04,14,0,1
5215,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2020,03,23,0,1
2849,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,12,01,0,1
512,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2011,10,02,0,0
4729,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,03,25,0,1
1081,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2012,10,19,0,1
1664,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2014,03,17,0,1
1012,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,09,05,0,1
1931,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2014,07,15,0,1
1150,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,12,02,0,0
2838,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2015,11,17,0,1
116,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2005,06,15,0,1
740,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,03,06,0,1
5759,Ebonyi,67.2,87.78492808,70.04756331,11.41428571,5.1,2021,04,12,0,1
5177,Enugu,64.6,68.00408363,28.17356884,19.55714286,4.26,2020,02,24,0,1
3675,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2017,07,13,0,1
830,Katsina,16.7,72.25455046,68.10233593,19.45714286,5.92,2012,04,29,0,0
119,Rivers,84.0,61.35121584,17.24127233,25.34285714,4.62,2005,12,20,0,1
4752,Cross River,67.2,74.61053133,63.22547197,19.07142857,4.46,2019,04,14,0,0
5726,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2021,04,03,0,0
5679,Cross River,67.2,74.61053133,63.22547197,19.07142857,4.46,2021,03,03,0,1
5926,Imo,76.8,41.88608527,24.77383316,21.7,4.38,2021,05,31,0,1
635,Kano,27.8,45.01400292,52.19786167,17.02857143,6.36,2012,01,20,0,1
4465,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2018,11,10,0,0
4364,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2018,08,28,0,1
4142,Nasarawa,49.4,60.14161724575931,43.095502428373365,9.428571429,5.28,2018,04,14,0,0
991,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2012,08,17,0,1
876,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,06,05,0,1
4869,Ondo,67.3,78.02134752,40.72911739,10.8,3.7,2019,07,12,0,1
5315,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2020,06,02,0,1
5222,Kogi,56.6,78.46921682,51.85519457,13.21428571,4.0,2020,04,02,0,1
4,Lagos,84.3,56.04365468,0.8463356644,15.21428571,4.08,1983,11,29,0,1
3051,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2016,05,01,1,0
3124,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2016,06,09,0,1
2660,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,07,10,0,1
2491,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2015,04,01,0,1
5173,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2020,02,21,0,1
3854,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,11,15,0,1
4933,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,08,18,0,0
4777,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,05,01,1,1
1715,Bayelsa,69.6,78.99032831,56.96880221,29.87142857,4.32,2014,04,14,0,1
1148,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,12,02,0,0
3261,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2016,08,30,0,1
574,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2011,12,25,1,0
3769,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2017,09,08,0,1
3736,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,08,23,0,1
4146,Nasarawa,49.4,60.14161724575931,43.095502428373365,9.428571429,5.28,2018,04,15,0,0
853,Kano,27.8,45.01400292,52.19786167,17.02857143,6.36,2012,05,16,0,1
1982,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2014,08,06,0,1
2774,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,09,20,0,0
4929,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2019,08,17,0,0
5211,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2020,03,22,0,0
1166,Enugu,64.6,68.00408363,28.17356884,19.55714286,4.26,2012,12,09,0,0
971,Kogi,56.6,78.46921682,51.85519457,13.21428571,4.0,2012,08,07,0,1
2701,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,07,27,0,1
4495,Lagos,84.3,56.04365468,0.8463356644,15.21428571,4.08,2018,11,28,0,1
3847,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2017,11,10,0,1
2368,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2015,02,09,0,1
4115,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2018,04,04,0,1
